subject_num,age,trial_num,Condition,RT,ACC,young_or_old
1,68,1,0,569.5266680279631,1,1
1,68,2,0,306.15587701068887,1,1
1,68,3,0,618.4614036617168,0,1
1,68,4,0,339.1234964932154,1,1
1,68,5,0,295.9665130389073,1,1
1,68,6,0,402.3834519083687,1,1
1,68,7,0,609.8359372760262,0,1
1,68,8,0,397.4511893729908,1,1
1,68,9,0,425.1182034791058,1,1
1,68,10,0,272.3766676480178,1,1
1,68,11,0,419.23512855278506,0,1
1,68,12,0,466.2310248328873,1,1
1,68,13,0,752.8919581203781,1,1
1,68,14,0,361.2782695557711,1,1
1,68,15,0,661.1279081330104,1,1
1,68,16,0,410.89944440830936,1,1
1,68,17,0,467.2902993921431,0,1
1,68,18,0,445.76148504419433,1,1
1,68,19,0,433.7095641405987,1,1
1,68,20,0,568.8871634664602,1,1
1,68,21,0,648.0404066881232,1,1
1,68,22,0,859.5601233934751,1,1
1,68,23,0,493.51869708204794,1,1
1,68,24,0,678.3308698110194,1,1
1,68,25,0,342.89965692568035,1,1
1,68,26,0,347.4918992466978,1,1
1,68,27,0,429.07023104591644,1,1
1,68,28,0,368.8091116002184,1,1
1,68,29,0,399.05040184158713,1,1
1,68,30,0,429.65924480369273,1,1
1,68,31,0,622.1014055507233,1,1
1,68,32,0,400.3636522987845,1,1
1,68,33,0,307.6044269056849,0,1
1,68,34,0,333.8498471244939,1,1
1,68,35,0,425.525217109951,1,1
1,68,36,0,321.5904318861866,1,1
1,68,37,0,465.16010440007807,1,1
1,68,38,0,381.6728920203952,1,1
1,68,39,0,511.78275143003106,1,1
1,68,40,0,464.9215136898671,1,1
1,68,41,0,428.92303211583703,1,1
1,68,42,0,424.31406349424714,1,1
1,68,43,0,489.42770495472257,1,1
1,68,44,0,582.5334366904541,0,1
1,68,45,0,519.5815100928397,1,1
1,68,46,0,1253.5771765700413,0,1
1,68,47,0,428.5262492549292,1,1
1,68,48,0,350.7478654266821,1,1
1,68,49,0,310.637503874584,1,1
1,68,50,0,293.2637664119765,1,1
1,68,51,0,554.6078313387419,1,1
1,68,52,0,369.9386081823052,1,1
1,68,53,0,573.6503192395053,1,1
1,68,54,0,841.0111462270472,0,1
1,68,55,0,329.31676476921746,1,1
1,68,56,0,484.12383478242464,1,1
1,68,57,0,554.771048156724,1,1
1,68,58,0,888.7007708939929,0,1
1,68,59,0,408.83041290991304,1,1
1,68,60,0,402.1701358338148,0,1
1,68,61,0,404.19329378245993,1,1
1,68,62,0,627.3117221468848,1,1
1,68,63,0,402.96090642357984,1,1
1,68,64,0,403.65299290121357,1,1
1,68,65,0,422.0417472380773,1,1
1,68,66,0,554.0851204604369,1,1
1,68,67,0,349.6957598961936,1,1
1,68,68,0,560.3681675078074,1,1
1,68,69,0,563.0704094217076,1,1
1,68,70,0,401.80548843369263,1,1
1,68,71,0,845.3521827534539,0,1
1,68,72,0,308.78815631013856,1,1
1,68,73,0,507.0268276679582,1,1
1,68,74,0,394.08145770217567,1,1
1,68,75,0,404.4698985038527,0,1
1,68,76,0,382.52089339673313,1,1
1,68,77,0,349.8095800904916,1,1
1,68,78,0,675.7753338784523,1,1
1,68,79,0,430.42958781886955,1,1
1,68,80,0,608.1973579736543,0,1
1,68,81,0,331.46886726776893,1,1
1,68,82,0,441.33012378629746,1,1
1,68,83,0,456.57058465666665,0,1
1,68,84,0,596.816885302458,1,1
1,68,85,0,329.0837374124172,1,1
1,68,86,0,428.9605575496599,1,1
1,68,87,0,444.1817569177328,1,1
1,68,88,0,320.7120665038456,1,1
1,68,89,0,310.5474763720574,1,1
1,68,90,0,359.2551543122242,1,1
1,68,91,0,452.43596756493963,1,1
1,68,92,0,816.6829395936942,0,1
1,68,93,0,481.7818750994854,1,1
1,68,94,0,382.7694865603296,1,1
1,68,95,0,389.47129976006147,1,1
1,68,96,0,373.46836143526025,1,1
1,68,97,0,299.88922210425113,1,1
1,68,98,0,447.99577867972357,1,1
1,68,99,0,517.8823512217626,1,1
1,68,100,0,496.8136942077316,1,1
1,68,101,1,450.0152999036472,1,1
1,68,102,1,555.400120988973,1,1
1,68,103,1,610.2412299946974,1,1
1,68,104,1,488.84560576770673,1,1
1,68,105,1,514.5995277346453,1,1
1,68,106,1,676.6912447428482,1,1
1,68,107,1,765.2876045057677,1,1
1,68,108,1,723.0695290283286,1,1
1,68,109,1,730.4646571300005,0,1
1,68,110,1,745.5421865757564,1,1
1,68,111,1,867.5118900129733,0,1
1,68,112,1,680.1521314846636,1,1
1,68,113,1,407.4638346134678,0,1
1,68,114,1,423.5510998367758,1,1
1,68,115,1,438.2861690212466,1,1
1,68,116,1,445.1156872794889,1,1
1,68,117,1,919.7746634178583,1,1
1,68,118,1,858.4604911688225,1,1
1,68,119,1,620.4729641958533,0,1
1,68,120,1,657.9580227024372,1,1
1,68,121,1,617.4334463562268,0,1
1,68,122,1,517.0596439367865,0,1
1,68,123,1,569.3646118301433,1,1
1,68,124,1,901.2415603889832,1,1
1,68,125,1,565.2502081801679,1,1
1,68,126,1,817.7577555999704,1,1
1,68,127,1,853.2273670108029,1,1
1,68,128,1,449.87336429566284,1,1
1,68,129,1,501.33364864417416,1,1
