"0","# Sources:"
"0","  # 1) https://www.dataquest.io/blog/how-to-create-a-dataframe-in-r/"
"0","  # 2) https://www.digitalocean.com/community/tutorials/get-number-of-rows-and-columns-in-r"
"0","  # 3) https://stat.ethz.ch/R-manual/R-devel/library/base/html/Arithmetic.html"
"0","  # 4) https://www.spsanderson.com/steveondata/posts/2025-05-26/"
"0","  # 5) https://stackoverflow.com/questions/8169323/r-concatenate-two-dataframes"
"0",""
"0","# Gets the number of subjects (rows) in the actual data"
"0","num_rows <- nrow(participant_level_data)"
"0",""
"0","# Floor division to handle odd num participants (not true here but why not future-proof)"
"0","half_rows <- num_rows %/% 2"
"0","  "
"0","# Floor division to handle odd num participants (not true here but why not future-proof)"
"0","quarter_rows <- half_rows %/% 2"
"0",""
"0","# make data for verbal condition"
"0","set.seed(67)"
"0",""
"0","# verbal shallow data"
"0","verbal_shallow_a <- data.frame("
"0","  participant             = 1:quarter_rows,"
"0","  encoding_strategy       = ""verb_single"","
"0","  encoding_modality       = ""verbal"","
"0","  encoding_depth          = ""shallow"","
"0","  VVIQ_score              = sample(21:80, quarter_rows),"
"0","  true_recall_proportion  = rnorm(quarter_rows, mean = 0.30, sd = 0.1),"
"0","  false_recall_proportion = rnorm(quarter_rows, mean = 0.50, sd = 0.25)"
"0",")"
"0",""
"0","# verbal deep data"
"0","verbal_deep_a <- data.frame("
"0","  participant             = (quarter_rows + 1):half_rows,"
"0","  encoding_strategy       = ""verb_association"","
"0","  encoding_modality       = ""verbal"","
"0","  encoding_depth          = ""deep"","
"0","  VVIQ_score              = sample(21:80, half_rows - quarter_rows),"
"0","  true_recall_proportion  = rnorm(half_rows - quarter_rows, mean = 0.30, sd = 0.1),"
"0","  false_recall_proportion = rnorm(half_rows - quarter_rows, mean = 0.50, sd = 0.25)"
"0",")"
"0",""
"0","# Get the verbal part of the data set"
"0","verbal_data_a <- rbind(verbal_shallow_a, verbal_deep_a)"
"0",""
"0","# make data for visual condition"
"0","set.seed(75)"
"0",""
"0","# visual shallow data"
"0","visual_shallow_a <- data.frame("
"0","  participant             = (half_rows + 1):(half_rows + quarter_rows),"
"0","  encoding_strategy       = ""imag_single"","
"0","  encoding_modality       = ""visual"","
"0","  encoding_depth          = ""shallow"","
"0","  VVIQ_score              = sample(21:80, quarter_rows),"
"0","  true_recall_proportion  = rnorm(quarter_rows, mean = 0.70, sd = 0.1),"
"0","  false_recall_proportion = rnorm(quarter_rows, mean = 0.50, sd = 0.25)"
"0",")"
"0",""
"0","# visual deep data"
"0","visual_deep_a <- data.frame("
"0","  participant             = (half_rows + quarter_rows + 1):num_rows,"
"0","  encoding_strategy       = ""imag_association"","
"0","  encoding_modality       = ""visual"","
"0","  encoding_depth          = ""deep"","
"0","  VVIQ_score              = sample(21:80, num_rows - half_rows - quarter_rows),"
"0","  true_recall_proportion  = rnorm(num_rows - half_rows - quarter_rows, mean = 0.70, sd = 0.1),"
"0","  false_recall_proportion = rnorm(num_rows - half_rows - quarter_rows, mean = 0.50, sd = 0.25)"
"0",")"
"0",""
"0","# Get the visual part of the data set"
"0","visual_data_a <- rbind(visual_shallow_a, visual_deep_a)"
"0",""
"0","# Get the full data set"
"0","toy_set_a <- rbind(verbal_data_a, visual_data_a)"
"0",""
"0",""
"0",""
