subject_num,age,trial_num,Condition,RT,ACC,neural_accum,young_or_old
1,62,1,0,285.417667242532,1,0.5984180482593804,1
1,62,2,0,295.59032279292893,1,0.5888175413001338,1
1,62,3,0,266.54877646768017,1,0.6648921032948873,1
1,62,4,0,211.31927123834396,1,0.9495542206145994,1
1,62,5,0,386.0109704298456,1,0.41401124841679604,1
1,62,6,0,218.85384392920037,1,0.8934182717617855,1
1,62,7,0,335.18311477605096,1,0.5016329813972705,1
1,62,8,0,261.1663978088844,1,0.7456441084765233,1
1,62,9,0,273.0648802604545,1,0.720647769188569,1
1,62,10,0,260.3865212167225,1,0.7645995266729905,1
1,62,11,0,243.88975302932258,1,0.7799588848394364,1
1,62,12,0,323.49985790563926,1,0.5338168993911591,1
1,62,13,0,241.21473381708603,1,0.8496233628861631,1
1,62,14,0,280.6286513655517,1,0.5900485258647049,1
1,62,15,0,287.806616861497,0,0.5237302739869328,1
1,62,16,0,262.2311433244373,1,0.6984395396951414,1
1,62,17,0,1116.0226294757254,0,0.4483438099563258,1
1,62,18,0,244.48180622897067,1,0.8111627321219399,1
1,62,19,0,251.8715284434476,1,0.7723077495155274,1
1,62,20,0,258.61302430759997,1,0.7165467435126008,1
1,62,21,0,287.2634729177022,1,0.5995028158928071,1
1,62,22,0,259.4072711185712,1,0.6956146141334176,1
1,62,23,0,868.7703232619328,0,0.5191598289858543,1
1,62,24,0,236.40738492322262,1,0.8399849720229748,1
1,62,25,0,402.10551937603276,1,0.376165405980071,1
1,62,26,0,261.2174783989718,1,0.7007723792207772,1
1,62,27,0,229.5900816599973,1,0.8999931962000671,1
1,62,28,0,750.4649090724348,0,0.951149817755534,1
1,62,29,0,230.39671848670798,1,0.9012104460111456,1
1,62,30,0,304.5886725649593,1,0.5240462428552373,1
1,62,31,0,212.89532697733915,1,1.1025130715876221,1
1,62,32,0,254.01569519514518,1,0.7460215054714254,1
1,62,33,0,287.24225711842405,1,0.6267460596594988,1
1,62,34,0,294.2945597019817,1,0.6308573140342133,1
1,62,35,0,238.34170193351835,1,0.8449936544274219,1
1,62,36,0,287.54422777612433,1,0.6144917429771354,1
1,62,37,0,318.3666046375216,1,0.5054987560758593,1
1,62,38,0,219.39996514839842,1,0.8864122841559118,1
1,62,39,0,298.9752119089579,1,0.5874364879754069,1
1,62,40,0,278.75014248725176,1,0.6936477010624277,1
1,62,41,0,264.9680065255705,1,0.7490594265272699,1
1,62,42,0,323.32483369683735,1,0.5510221499501624,1
1,62,43,0,258.5540713587605,0,0.6520479494772194,1
1,62,44,0,240.93974800724217,1,0.7991430448850304,1
1,62,45,0,263.59692610626377,1,0.698926251301973,1
1,62,46,0,272.6402582326124,0,0.2300687719581334,1
1,62,47,0,710.2583665140305,0,0.5935520699366748,1
1,62,48,0,387.4428288411417,1,0.4200888870156261,1
1,62,49,0,338.9317525064315,0,0.36287514621254424,1
1,62,50,0,267.51290073752585,1,0.6406852340452098,1
1,62,51,0,263.38380782605503,1,0.7261818245666875,1
1,62,52,0,349.96108218019833,1,0.4277060101796508,1
1,62,53,0,262.9178606323857,1,0.6578268045898544,1
1,62,54,0,327.6083281614184,1,0.4701913763259009,1
1,62,55,0,214.10970506381005,1,1.093280579165727,1
1,62,56,0,773.5687010617249,1,0.4561399364546364,1
1,62,57,0,655.9746569130272,1,0.28688675594183505,1
1,62,58,0,334.7335771164091,1,0.48644568597583193,1
1,62,59,0,354.095888624072,1,0.4243564812340149,1
1,62,60,0,287.70033261254116,1,0.5678360353309831,1
1,62,61,0,270.5286490557039,1,0.694363217366204,1
1,62,62,0,381.2215122090704,1,0.4111285006753055,1
1,62,63,0,232.2000123563579,1,0.8414828890283195,1
1,62,64,0,234.6092630820598,1,0.8687175305419037,1
1,62,65,0,376.54031434688386,1,0.4130460652066983,1
1,62,66,0,294.50061824238463,1,0.6138117386200201,1
1,62,67,0,335.155065842396,1,0.5099716339931197,1
1,62,68,0,1226.4651415650007,1,0.8239654555589718,1
